#
# Run File created 12/08/2015 5:03:01 PM
#

#
# 
#

# Ch1_Incident WP                     Moving          14.671(x - zero)
# Ch2_Phase WP                        Moving          17.273(x - zero)
# Ch3_OWC WP                          Moving          22.575(x - zero)
# Ch4_OWC Pressure                    Moving          41.623(x - zero)

TITLE="Calibration"
VARIABLES="Time" "Ch1_Incident WP" "Ch2_Phase WP" "Ch3_OWC WP" "Ch4_OWC Pressure" 
ZONE T="Calibration" F=POINT 
0.000000 -0.201395 -0.185819 -0.129875 -0.086480 
1.000000 14.670759 17.272866 22.574672 41.623146 

TITLE="Data"
VARIABLES="Time" "Ch1_Incident WP" "Ch2_Phase WP" "Ch3_OWC WP" "Ch4_OWC Pressure" 
ZONE T="Data" F=POINT 
0.470000 -0.188405 -0.187116 -0.131358 -0.080758 
0.475000 -0.187438 -0.187438 -0.130069 -0.080436 
0.480000 -0.188082 -0.186793 -0.127813 -0.073990 
0.485000 -0.189049 -0.186793 -0.129102 -0.075279 
0.490000 -0.188405 -0.186793 -0.130714 -0.081080 
0.495000 -0.188082 -0.183570 -0.127169 -0.088171 
0.500000 -0.190661 -0.187116 -0.128458 -0.097517 
0.505000 -0.186793 -0.184859 -0.126846 -0.081080 
0.510000 -0.190338 -0.186793 -0.128780 -0.083336 
0.515000 -0.186149 -0.184215 -0.126202 -0.090105 
0.520000 -0.187760 -0.185504 -0.128780 -0.094939 
0.525000 -0.186149 -0.185182 -0.126846 -0.099451 
0.530000 -0.187760 -0.186793 -0.126846 -0.088493 
0.535000 -0.185182 -0.184215 -0.126524 -0.083014 
0.540000 -0.186793 -0.186471 -0.128135 -0.086882 
0.545000 -0.185504 -0.186471 -0.128780 -0.090427 
0.550000 -0.186149 -0.187438 -0.126524 -0.084626 
0.555000 -0.186149 -0.186793 -0.128780 -0.085270 
0.560000 -0.187116 -0.185182 -0.126202 -0.079469 
0.565000 -0.188727 -0.188727 -0.128458 -0.088815 
0.570000 -0.186149 -0.185826 -0.126202 -0.088815 
0.575000 -0.187760 -0.187760 -0.127813 -0.093005 
0.580000 -0.186793 -0.185504 -0.127169 -0.078180 
