#
# Run File created 13/08/2015 3:07:29 PM
#

#
# 
#

# Ch1_Incident WP                     Moving          14.299(x - zero)
# Ch2_Phase WP                        Moving          16.965(x - zero)
# Ch3_OWC WP                          Moving          21.847(x - zero)
# Ch4_OWC Pressure                    Moving          41.623(x - zero)

TITLE="Calibration"
VARIABLES="Time" "Ch1_Incident WP" "Ch2_Phase WP" "Ch3_OWC WP" "Ch4_OWC Pressure" 
ZONE T="Calibration" F=POINT 
0.000000 0.046681 0.107498 0.232217 0.027345 
1.000000 14.298819 16.964721 21.846986 41.623146 

TITLE="Data"
VARIABLES="Time" "Ch1_Incident WP" "Ch2_Phase WP" "Ch3_OWC WP" "Ch4_OWC Pressure" 
ZONE T="Data" F=POINT 
0.000000 0.037847 0.108429 0.228001 0.042359 
0.005000 0.033657 0.106818 0.227356 0.028822 
0.010000 0.035268 0.105851 0.229290 0.022699 
0.015000 0.042036 0.110363 0.228323 0.020120 
0.020000 0.036235 0.108429 0.228645 0.010774 
0.025000 0.035913 0.104884 0.225745 0.018509 
0.030000 0.034301 0.109396 0.227356 0.017864 
0.035000 0.034624 0.109074 0.231224 0.028822 
0.040000 0.034946 0.105851 0.227034 0.019153 
0.045000 0.030434 0.107140 0.228001 0.032368 
0.050000 0.031723 0.106173 0.228645 0.023343 
0.055000 0.035591 0.106173 0.229612 0.018831 
0.060000 0.032368 0.106495 0.226067 0.023988 
0.065000 0.030434 0.108107 0.227678 0.031723 
0.070000 0.034301 0.104562 0.227678 0.035268 
0.075000 0.036235 0.111008 0.229934 0.029145 
0.080000 0.036557 0.108752 0.228968 0.013352 
0.085000 0.033334 0.107785 0.227034 0.024310 
0.090000 0.035268 0.108752 0.230579 0.020120 
0.095000 0.042036 0.112297 0.229612 0.022699 
0.100000 0.033334 0.108752 0.229934 0.021732 
0.105000 0.030111 0.107785 0.229290 0.037202 
0.110000 0.035268 0.111652 0.228968 0.034624 
0.115000 0.038813 0.108752 0.228645 0.023666 
0.120000 0.034624 0.110041 0.230579 0.028500 
0.125000 0.032690 0.108752 0.226389 0.028822 
0.130000 0.033334 0.105851 0.227356 0.023666 
0.135000 0.036235 0.109396 0.231546 0.024632 
0.140000 0.035591 0.109074 0.225745 0.024955 
0.145000 0.031401 0.104884 0.227678 0.027855 
0.150000 0.031078 0.107785 0.229290 0.024955 
0.155000 0.035913 0.110363 0.228968 0.021732 
0.160000 0.033334 0.108107 0.228001 0.034301 
0.165000 0.029467 0.107140 0.228323 0.024955 
0.170000 0.032690 0.107785 0.228968 0.033979 
0.175000 0.035913 0.109396 0.230901 0.034301 
0.180000 0.033334 0.106495 0.228968 0.032045 
0.185000 0.031401 0.107140 0.229934 0.023343 
0.190000 0.032368 0.106173 0.229612 0.033334 
0.195000 0.033657 0.107462 0.233157 0.032368 
0.200000 0.034946 0.112297 0.229612 0.042359 
0.205000 0.034301 0.109074 0.228323 0.037202 
0.210000 0.034624 0.110363 0.228323 0.027533 
0.215000 0.037847 0.111330 0.229290 0.026889 
0.220000 0.037524 0.107785 0.228968 0.034301 
0.225000 0.031401 0.099727 0.227678 0.033979 
0.230000 0.033979 0.107785 0.228645 0.028822 
0.235000 0.037202 0.107140 0.228323 0.026566 
0.240000 0.034301 0.105529 0.229612 0.028822 
0.245000 0.031723 0.103272 0.227034 0.033012 
0.250000 0.033979 0.105851 0.228323 0.020443 
0.255000 0.034624 0.104239 0.231546 0.032368 
0.260000 0.033012 0.107462 0.231224 0.034946 
0.265000 0.035268 0.103595 0.227678 0.023343 
0.270000 0.030756 0.103595 0.229290 0.029145 
0.275000 0.035268 0.105851 0.229934 0.019476 
0.280000 0.039458 0.105206 0.229934 0.018831 
0.285000 0.034301 0.102950 0.230257 0.035591 
0.290000 0.036557 0.103917 0.228323 0.029789 
0.295000 0.038491 0.107140 0.230901 0.019476 
0.300000 0.038169 0.106173 0.229612 0.039136 
0.305000 0.034301 0.102306 0.229934 0.036880 
0.310000 0.039780 0.105851 0.228323 0.032368 
0.315000 0.036235 0.102628 0.232835 0.024310 
0.320000 0.040425 0.105851 0.229612 0.033012 
0.325000 0.035268 0.101661 0.228001 0.039458 
0.330000 0.038813 0.101983 0.228645 0.021410 
0.335000 0.037202 0.105851 0.231546 0.039136 
0.340000 0.038491 0.102306 0.230257 0.031078 
0.345000 0.036880 0.097793 0.225745 0.030434 
0.350000 0.033979 0.103272 0.227034 0.026889 
0.355000 0.037524 0.099727 0.223489 0.020120 
0.360000 0.036235 0.100694 0.229612 0.022376 
0.365000 0.036557 0.100694 0.226712 0.035591 
0.370000 0.035268 0.098116 0.228968 0.036235 
0.375000 0.037847 0.103272 0.230257 0.032690 
0.380000 0.048805 0.105529 0.232835 0.030111 
0.385000 0.038813 0.099727 0.228645 0.036557 
0.390000 0.036235 0.101661 0.230579 0.036880 
0.395000 0.042681 0.103595 0.231546 0.024955 
0.400000 0.041392 0.103272 0.230901 0.035913 
0.405000 0.038169 0.100050 0.229612 0.027533 
0.410000 0.040747 0.103917 0.227356 0.027855 
0.415000 0.041070 0.101661 0.228645 0.034624 
0.420000 0.042036 0.103272 0.231224 0.034946 
0.425000 0.035591 0.100050 0.228968 0.027533 
0.430000 0.039136 0.099727 0.228645 0.010129 
0.435000 0.040425 0.097149 0.229290 0.038813 
0.440000 0.040747 0.103272 0.229934 0.031078 
0.445000 0.036557 0.098760 0.228645 0.033012 
0.450000 0.038491 0.095215 0.228001 0.039136 
0.455000 0.040103 0.102950 0.227678 0.028500 
0.460000 0.040425 0.102950 0.232835 0.028178 
0.465000 0.032690 0.099405 0.228645 0.015608 
0.470000 0.038491 0.100050 0.228001 0.036557 
0.475000 0.039458 0.100050 0.232191 0.041714 
0.480000 0.041070 0.103595 0.229612 0.021087 
0.485000 0.036880 0.100694 0.229934 0.028500 
0.490000 0.032368 0.104562 0.229934 0.026566 
0.495000 0.045582 0.101661 0.230257 0.029467 
0.500000 0.042036 0.104884 0.234769 0.030756 
0.505000 0.039458 0.100372 0.228323 0.022054 
0.510000 0.037202 0.085869 0.230257 0.043970 
0.515000 0.039780 0.103272 0.230257 0.031401 
0.520000 0.039780 0.102306 0.230257 0.025277 
0.525000 0.035268 0.100372 0.229934 0.041714 
0.530000 0.038813 0.101339 0.225422 0.012063 
0.535000 0.037202 0.103595 0.230579 0.018187 
0.540000 0.036880 0.104884 0.228968 0.025599 
0.545000 0.035913 0.099727 0.228968 0.026566 
0.550000 0.031723 0.102628 0.226712 0.014641 
0.555000 0.037524 0.105851 0.229290 0.019476 
0.560000 0.038169 0.102628 0.228645 0.030434 
0.565000 0.033334 0.103917 0.228323 0.020443 
0.570000 0.039458 0.101983 0.227034 0.033334 
0.575000 0.037847 0.103917 0.232513 0.021410 
0.580000 0.033979 0.109718 0.232191 0.019798 
0.585000 0.037847 0.103595 0.230257 0.028822 
0.590000 0.036235 0.103595 0.233157 0.028500 
0.595000 0.039780 0.107140 0.232191 0.016575 
0.600000 0.036557 0.108107 0.233480 0.036557 
0.605000 0.035268 0.107785 0.230579 0.024632 
0.610000 0.034624 0.103917 0.227356 0.017220 
0.615000 0.035591 0.107785 0.231546 0.029789 
0.620000 0.040425 0.109396 0.229290 0.027855 
0.625000 0.033012 0.102306 0.228001 0.012708 
0.630000 0.033657 0.104884 0.228968 0.013352 
0.635000 0.037524 0.105206 0.227678 0.019153 
0.640000 0.034301 0.107785 0.230579 0.025277 
0.645000 0.032045 0.104562 0.227034 0.018831 
0.650000 0.030756 0.101339 0.229612 0.028178 
0.655000 0.031078 0.109396 0.231546 0.030111 
0.660000 0.033657 0.108107 0.229934 0.021087 
0.665000 0.032690 0.108752 0.227356 0.037202 
0.670000 0.027855 0.104884 0.229612 0.020765 
0.675000 0.033334 0.109396 0.230901 0.032045 
0.680000 0.033657 0.110041 0.230257 0.033334 
0.685000 0.031401 0.108429 0.229290 0.019476 
0.690000 0.032368 0.111652 0.228968 0.023666 
0.695000 0.036880 0.110363 0.231224 0.013030 
0.700000 0.033012 0.110363 0.231868 0.025277 
0.705000 0.030756 0.112619 0.228001 0.018509 
0.710000 0.033334 0.105851 0.225745 0.025922 
0.715000 0.034624 0.110041 0.231546 0.030111 
0.720000 0.037202 0.112297 0.228323 0.035268 
0.725000 0.030756 0.105206 0.227678 0.005939 
0.730000 0.033012 0.111008 0.227356 0.026566 
0.735000 0.035591 0.109718 0.226389 0.020765 
0.740000 0.030434 0.111330 0.229290 0.025277 
0.745000 0.030434 0.108752 0.227034 0.025277 
0.750000 0.033334 0.107785 0.227678 0.016575 
0.755000 0.032690 0.110685 0.228323 0.027211 
0.760000 0.033012 0.113264 0.229290 0.028822 
0.765000 0.030434 0.110041 0.226389 0.016253 
0.770000 0.030756 0.108752 0.227678 0.015931 
0.775000 0.031723 0.110041 0.230257 0.022376 
0.780000 0.033334 0.111974 0.228968 0.019798 
0.785000 0.031401 0.112619 0.227678 0.015286 
0.790000 0.032045 0.109718 0.228001 0.034301 
0.795000 0.033979 0.114875 0.228323 0.030111 
0.800000 0.036880 0.111652 0.229612 0.030111 
0.805000 0.030756 0.109396 0.229290 0.020765 
0.810000 0.035591 0.109074 0.225422 0.024632 
0.815000 0.033979 0.108752 0.228968 0.023666 
0.820000 0.031401 0.111974 0.231224 0.028178 
0.825000 0.034301 0.107462 0.228001 0.025599 
0.830000 0.031401 0.107785 0.223811 0.036880 
0.835000 0.033012 0.108429 0.226712 0.026566 
0.840000 0.033979 0.108752 0.227356 0.017542 
0.845000 0.031723 0.108752 0.225745 0.032045 
0.850000 0.033979 0.102950 0.222844 0.030756 
0.855000 0.032045 0.109074 0.227034 0.034301 
0.860000 0.033334 0.109074 0.227678 0.043970 
0.865000 0.032690 0.105851 0.228645 0.008195 
0.870000 0.033657 0.105206 0.225422 0.016575 
0.875000 0.034301 0.105851 0.228323 0.033334 
0.880000 0.035913 0.112941 0.228001 0.032368 
0.885000 0.035268 0.107785 0.226712 0.010129 
0.890000 0.033979 0.105529 0.230579 0.015608 
0.895000 0.039136 0.109718 0.226067 0.031078 
0.900000 0.035268 0.108429 0.229290 0.024632 
0.905000 0.035591 0.107462 0.228001 0.018831 
0.910000 0.037524 0.101983 0.225745 0.023021 
0.915000 0.035913 0.105206 0.228645 0.023343 
0.920000 0.035268 0.110685 0.227678 0.026566 
0.925000 0.035913 0.104562 0.223489 0.035913 
0.930000 0.031401 0.100372 0.228001 0.021087 
0.935000 0.033657 0.106173 0.228001 0.024632 
0.940000 0.038169 0.105529 0.227034 0.023343 
0.945000 0.033979 0.102950 0.229612 0.017542 
0.950000 0.032368 0.104562 0.223489 0.015286 
0.955000 0.032368 0.102950 0.227034 0.032045 
0.960000 0.034301 0.104884 0.227678 0.018831 
0.965000 0.032368 0.102628 0.225745 0.025599 
0.970000 0.032690 0.101983 0.226712 0.036235 
0.975000 0.037524 0.108107 0.228645 0.020765 
0.980000 0.037847 0.105206 0.228001 0.043003 
0.985000 0.037847 0.104562 0.226712 0.030111 
0.990000 0.036235 0.100050 0.226067 0.025922 
0.995000 0.035591 0.103917 0.229934 0.027533 
1.000000 0.037524 0.105851 0.230257 0.030756 
1.005000 0.035913 0.103917 0.228001 0.023666 
1.010000 0.036235 0.102628 0.225745 0.012385 
1.015000 0.039136 0.101661 0.226389 0.025599 
1.020000 0.037202 0.102306 0.227034 0.035268 
1.025000 0.032368 0.101983 0.225422 0.025599 
1.030000 0.033012 0.098116 0.225422 0.022699 
1.035000 0.036557 0.102950 0.228645 0.011418 
1.040000 0.034946 0.104562 0.229934 0.030756 
1.045000 0.033657 0.101661 0.227678 0.020443 
1.050000 0.033657 0.099405 0.225100 0.024955 
1.055000 0.034624 0.103595 0.227678 0.017220 
1.060000 0.037524 0.101661 0.228001 0.018509 
1.065000 0.033012 0.096827 0.228645 0.027855 
1.070000 0.032690 0.099727 0.226389 0.017864 
1.075000 0.037202 0.101016 0.227356 0.043970 
1.080000 0.034301 0.103272 0.230257 0.025599 
1.085000 0.034946 0.102628 0.228323 0.033979 
1.090000 0.033657 0.099405 0.225745 0.036557 
1.095000 0.035591 0.103272 0.229934 0.038169 
1.100000 0.039458 0.104884 0.227034 0.029789 
1.105000 0.030111 0.100372 0.227034 0.031723 
1.110000 0.032690 0.100372 0.228645 0.019153 
1.115000 0.039136 0.103272 0.227356 0.022376 
1.120000 0.037524 0.102950 0.228001 0.023666 
1.125000 0.032368 0.098760 0.225422 0.038169 
1.130000 0.031723 0.097793 0.225745 0.022376 
1.135000 0.034301 0.099727 0.228001 0.026889 
1.140000 0.031723 0.102628 0.228968 0.038813 
1.145000 0.030756 0.102306 0.228645 0.026889 
1.150000 0.033012 0.099083 0.226067 0.034301 
1.155000 0.033012 0.100694 0.226712 0.022376 
1.160000 0.032690 0.101339 0.229934 0.020765 
1.165000 0.031078 0.101339 0.227034 0.029145 
1.170000 0.030756 0.102628 0.225745 0.022699 
1.175000 0.035268 0.104884 0.228323 0.033657 
1.180000 0.033979 0.100694 0.229934 0.012708 
1.185000 0.029467 0.102628 0.229934 0.028822 
1.190000 0.034946 0.102628 0.227678 0.016575 
1.195000 0.034624 0.103917 0.228968 0.032690 
1.200000 0.033657 0.104562 0.229290 0.028178 
1.205000 0.031401 0.102950 0.228001 0.023988 
1.210000 0.032368 0.104239 0.225100 0.024632 
1.215000 0.032045 0.106173 0.226389 0.027533 
1.220000 0.033657 0.105206 0.230901 0.028178 
1.225000 0.032045 0.102306 0.224778 0.025599 
1.230000 0.029145 0.101983 0.226067 0.029145 
1.235000 0.034301 0.101339 0.227678 0.033979 
1.240000 0.032045 0.106495 0.230257 0.023988 
1.245000 0.028822 0.101983 0.226067 0.026566 
1.250000 0.033657 0.100372 0.226712 0.032368 
1.255000 0.032368 0.103917 0.228968 0.034301 
1.260000 0.032045 0.103272 0.229290 0.030756 
1.265000 0.030434 0.106173 0.228645 0.018831 
1.270000 0.032368 0.102306 0.226067 0.044615 
1.275000 0.029789 0.109718 0.232191 0.038169 
1.280000 0.034624 0.104562 0.229612 0.038491 
1.285000 0.033979 0.107785 0.228323 0.026244 
1.290000 0.031401 0.106818 0.226389 0.027533 
1.295000 0.036557 0.107785 0.231546 0.026244 
1.300000 0.033334 0.108752 0.231224 0.040425 
1.305000 0.035268 0.108429 0.226067 0.035268 
1.310000 0.032368 0.104562 0.228001 0.038491 
1.315000 0.036880 0.109074 0.227356 0.032368 
1.320000 0.037202 0.107785 0.230579 0.036235 
1.325000 0.034624 0.103272 0.225422 0.032690 
1.330000 0.033979 0.105851 0.226712 0.034946 
1.335000 0.031401 0.103595 0.229612 0.034301 
1.340000 0.034946 0.107785 0.228323 0.024310 
1.345000 0.031723 0.102950 0.225100 0.028822 
1.350000 0.030111 0.104562 0.228323 0.029145 
1.355000 0.033334 0.109718 0.228968 0.030111 
1.360000 0.036557 0.109718 0.229290 0.031401 
1.365000 0.033979 0.106495 0.228968 0.025922 
1.370000 0.035268 0.105206 0.226389 0.034301 
1.375000 0.036557 0.107785 0.230901 0.025922 
1.380000 0.037524 0.110363 0.233802 0.026566 
1.385000 0.038169 0.109718 0.228323 0.027533 
1.390000 0.035591 0.104239 0.228968 0.028822 
1.395000 0.038169 0.112297 0.230579 0.023988 
1.400000 0.037847 0.108752 0.231868 0.028178 
1.405000 0.037202 0.106173 0.228968 0.026889 
1.410000 0.037847 0.107785 0.226067 0.027855 
1.415000 0.037524 0.109074 0.228323 0.040747 
1.420000 0.040747 0.110041 0.228968 0.025277 
1.425000 0.036880 0.109074 0.228323 0.039136 
1.430000 0.037202 0.107462 0.226712 0.033657 
1.435000 0.037202 0.104884 0.229290 0.024632 
1.440000 0.039458 0.110041 0.230579 0.028822 
1.445000 0.035913 0.103272 0.226067 0.024632 
1.450000 0.034946 0.103272 0.228001 0.038491 
1.455000 0.040103 0.108107 0.228001 0.023021 
1.460000 0.041714 0.105206 0.230257 0.031078 
1.465000 0.039136 0.105206 0.228968 0.015931 
1.470000 0.036235 0.105206 0.228645 0.030756 
1.475000 0.041392 0.109718 0.230257 0.011096 
